,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position
461,Jalen Rose\roseja01,1993-94,Michigan,Big Ten,32,,36.0,6.9,14.9,.461,5.2,10.1,.512,1.7,4.8,.355,4.4,6.0,.734,,,5.7,3.9,1.2,0.2,2.7,2.6,19.9,,12.04,3,203,95,Guard
462,Jeffery Taylor\tayloje03,2011-12,Vanderbilt,SEC,36,36,32.1,5.8,11.8,.493,4.0,7.5,.533,1.8,4.3,.423,2.6,4.4,.605,2.1,3.4,5.6,1.7,1.3,0.4,2.2,1.9,16.1,,8.04,4,201,102,Forward
463,Keon Clark\clarkke01,1997-98,UNLV,WAC,10,,,5.7,10.4,.548,5.3,9.6,.552,0.4,0.8,.500,3.0,4.5,.667,,,3.0,1.9,0.2,2.6,,,14.8,,5.31,2,211,99,Center
464,Josh Davis\davisjo02,2001-02,Wyoming,MWC,31,30,27.4,4.6,8.6,.530,4.3,7.3,.596,0.3,1.4,.186,2.3,3.9,.583,2.4,5.5,7.9,1.5,1.2,1.5,1.6,3.3,11.7,,2.72,4,203,106,Forward
465,Jonathan Isaac\isaacjo01,2016-17,Florida State,ACC,32,32,26.2,4.1,8.0,.508,3.1,5.2,.593,1.0,2.8,.348,2.9,3.7,.780,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,,8.87,1,208,95,Forward
466,Abdel Nader\naderab01,,Northern Illinois,,50,47,24.7,4.0,12.0,.337,2.8,7.8,.363,1.2,4.2,.289,2.1,2.9,.717,1.1,3.6,4.7,1.0,0.9,0.6,3.0,2.8,11.4,,,6,198,104,Forward
467,Troy Murphy\murphtr01,2000-01,Notre Dame,Big East,30,29,36.3,7.4,15.8,.471,6.4,12.9,.499,1.0,2.9,.349,5.9,7.7,.766,3.1,6.1,9.2,2.1,0.9,1.7,3.0,3.2,21.8,,5.68,3,211,111,Forward
468,Earl Clark\clarkea01,2008-09,Louisville,Big East,37,36,34.3,5.5,11.9,.457,4.6,9.4,.493,0.8,2.6,.326,2.4,3.8,.647,2.8,5.9,8.7,3.2,1.0,1.4,3.2,1.9,14.2,,8.41,3,206,102,Forward
469,David Robinson*\robinda01,1986-87,Navy,CAA,32,32,34.6,10.9,18.5,.591,10.9,18.5,.591,0.0,0.0,1.000,6.3,9.9,.637,,,11.8,1.0,2.1,4.5,2.2,2.7,28.2,,-1.44,4,216,106,Center
470,Adonis Thomas\thomaad01,2012-13,Memphis,CUSA,36,36,29.3,4.3,10.6,.405,3.6,8.2,.439,0.7,2.5,.292,2.4,3.1,.752,1.5,2.9,4.5,1.9,0.7,0.7,1.6,1.4,11.7,,2.70,2,201,108,Forward
471,Chasson Randle\randlch01,2014-15,Stanford,Pac-12,37,37,36.4,5.9,14.6,.403,3.4,7.9,.436,2.4,6.7,.363,5.4,6.2,.877,0.3,3.0,3.3,3.0,1.4,0.1,2.0,2.2,19.6,,7.33,4,188,83,Guard
472,Anthony Roberson\roberan02,2004-05,Florida,SEC,30,32,31.7,6.4,14.1,.456,3.3,6.0,.547,3.1,8.1,.388,2.7,3.0,.900,0.4,1.7,2.2,2.6,0.7,0.1,1.9,1.7,18.7,,7.12,3,188,81,Guard
473,Antonio Davis\davisan01,1989-90,UTEP,WAC,32,32,31.0,3.7,7.2,.520,3.7,7.1,.522,0.0,0.0,.000,3.3,5.2,.642,,,7.5,0.7,0.5,1.1,1.7,2.8,10.8,,4.53,4,206,97,Forward
474,Dan McClintock\mcclida01,1999-00,Northern Arizona,Big Sky,31,,24.3,6.1,10.3,.597,6.1,10.3,.597,0.0,0.0,,3.3,4.9,.682,,,6.5,1.2,0.4,2.3,1.8,2.8,15.6,,1.37,4,213,122,Center
475,Mike Conley\conlemi01,2006-07,Ohio State,Big Ten,39,39,31.6,4.1,7.9,.518,3.6,6.2,.579,0.5,1.8,.304,2.6,3.7,.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,,9.03,1,185,81,Guard
476,Chris Kaman\kamanch01,2002-03,Central Michigan,MAC,31,31,34.0,7.9,12.6,.622,7.9,12.6,.622,0.0,0.0,,6.6,8.9,.749,3.6,8.4,12.0,1.2,0.6,3.2,4.4,3.2,22.4,,1.79,3,213,121,Center
477,Brandon Bass\bassbr01,2004-05,LSU,SEC,30,29,33.6,6.0,10.6,.567,5.6,9.8,.577,0.4,0.9,.462,4.9,6.3,.777,2.7,6.3,9.1,0.8,0.8,1.6,1.8,2.4,17.3,,7.77,2,203,108,Forward
478,Jabari Smith\smithja01,1999-00,LSU,SEC,34,,28.5,4.6,8.3,.553,4.2,7.3,.579,0.4,1.0,.371,2.9,4.9,.595,,,7.0,2.2,0.7,1.0,2.6,2.5,12.5,,5.78,2,211,113,Center
479,Mike Tobey\tobeymi01,2015-16,Virginia,ACC,37,7,15.7,3.2,5.4,.601,3.2,5.1,.622,0.1,0.3,.200,0.8,1.4,.620,1.5,2.8,4.4,0.4,0.3,0.6,0.7,2.1,7.3,,11.12,4,211,114,Forward
480,Ira Bowman\bowmair01,,Providence,,43,,11.4,1.3,2.6,.514,1.3,2.5,.528,0.0,0.1,.200,1.3,2.1,.644,,,1.0,0.9,0.6,0.0,,,4.0,,,7,196,88,Forward
481,Lavoy Allen\allenla01,2010-11,Temple,A-10,33,33,33.9,4.7,9.7,.480,4.5,9.2,.490,0.2,0.5,.294,2.1,3.0,.697,2.7,5.9,8.6,2.3,0.7,1.8,1.6,2.3,11.6,,4.23,4,206,102,Forward
482,Erick Barkley\barkler01,1999-00,St. John's (NY),Big East,28,,36.9,5.7,14.3,.398,3.9,8.6,.454,1.8,5.7,.313,2.9,4.4,.664,,,3.0,4.5,3.0,0.3,2.4,2.3,16.0,,6.96,2,185,80,Guard
483,Kelly Oubre\oubreke01,2014-15,Kansas,Big 12,36,27,21.0,3.1,6.9,.444,2.1,4.3,.497,0.9,2.6,.358,2.2,3.1,.718,1.1,3.8,5.0,0.8,1.1,0.4,1.2,2.0,9.3,,12.13,1,201,90,Guard
484,Caris LeVert\leverca01,2015-16,Michigan,Big Ten,15,14,30.9,5.5,10.8,.506,3.5,6.5,.546,1.9,4.3,.446,3.6,4.5,.794,0.6,4.7,5.3,4.9,1.0,0.2,1.7,1.2,16.5,,7.92,4,201,90,Guard
485,Brandon Knight\knighbr03,2010-11,Kentucky,SEC,38,38,35.9,5.7,13.5,.423,3.4,7.4,.461,2.3,6.1,.377,3.6,4.5,.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,,8.91,1,190,83,Guard
486,Brendan Haywood\haywobr01,2000-01,UNC,ACC,33,33,27.3,4.7,7.9,.592,4.7,7.9,.592,0.0,0.0,,2.9,5.6,.516,3.2,4.2,7.3,1.3,0.5,3.6,2.0,2.9,12.3,,11.77,4,213,121,Center
487,Matt Bonner\bonnema01,2002-03,Florida,SEC,33,33,31.4,5.5,10.8,.510,3.6,6.8,.531,1.9,4.0,.474,2.2,3.1,.733,2.1,4.0,6.1,1.5,1.1,0.6,1.6,2.1,15.2,,7.76,4,208,108,Forward
488,Corie Blount\blounco01,1992-93,Cincinnati,GMWC,21,17,28.0,5.0,9.0,.550,5.0,9.0,.550,0.0,0.0,,1.4,2.5,.566,,,8.1,2.2,1.8,1.6,2.6,3.3,11.3,,6.62,2,206,108,Forward
489,Jeremy Lin\linje01,2009-10,Harvard,Ivy,29,29,32.2,5.1,9.9,.519,4.1,6.9,.598,1.0,3.0,.341,5.1,6.8,.755,0.8,3.6,4.4,4.5,2.4,1.1,3.1,2.9,16.4,,-3.91,4,188,90,Guard
490,Raja Bell\bellra01,,Boston University,,58,,31.0,4.7,11.2,.419,3.5,8.0,.439,1.2,3.3,.370,1.8,2.6,.682,,,4.2,1.5,0.9,0.2,2.3,2.8,12.9,,,6,196,92,Forward
491,Steven Smith\smithst03,2005-06,La Salle,A-10,28,27,36.0,7.4,15.3,.486,6.5,12.5,.519,0.9,2.8,.338,3.9,5.0,.773,2.1,5.8,7.9,2.5,1.1,0.8,3.6,2.6,19.7,,0.25,4,203,106,Forward
492,Jerome Moiso\moisoje01,1999-00,UCLA,Pac-10,33,,29.5,5.2,10.3,.501,5.1,10.1,.508,0.0,0.2,.167,2.6,4.3,.613,,,7.6,1.2,1.1,1.7,2.7,2.8,13.0,,10.11,2,208,106,Forward
493,Alonzo Mourning*\mournal01,1991-92,Georgetown,Big East,32,,32.8,6.4,10.7,.595,6.3,10.6,.599,0.0,0.1,.250,8.5,11.2,.758,,,10.7,1.7,0.6,5.0,2.6,3.6,21.3,,6.13,4,208,108,Center
494,Kendall Gill\gillke01,1989-90,Illinois,Big Ten,29,29,34.5,7.3,14.6,.500,6.5,12.3,.528,0.8,2.3,.348,4.7,6.0,.777,,,4.9,3.3,2.2,0.6,2.5,2.3,20.0,,9.89,4,196,88,Guard
495,Allan Ray\rayal01,2005-06,Villanova,Big East,32,32,32.1,5.8,14.9,.389,2.5,5.9,.416,3.3,9.0,.372,3.5,3.9,.889,0.6,3.0,3.6,1.8,1.2,0.1,1.8,2.4,18.5,,9.23,4,188,86,Guard
496,A.J. Hammons\hammoaj01,2015-16,Purdue,Big Ten,33,20,24.6,6.0,10.2,.592,5.8,9.8,.594,0.2,0.3,.545,2.7,3.8,.709,2.3,5.8,8.2,1.1,0.3,2.5,2.0,2.4,15.0,,7.46,4,213,118,Center
497,Jason Williams\willija02,,Marshall,,28,,29.1,5.1,9.9,.522,3.9,6.6,.592,1.3,3.3,.380,1.9,2.5,.743,,,3.5,6.4,1.8,0.3,2.7,1.8,13.4,,,4,185,86,Guard
498,Vince Hunter\huntevi01,2014-15,UTEP,CUSA,33,30,28.5,5.5,10.5,.526,5.4,10.2,.530,0.1,0.3,.400,3.8,6.3,.599,2.7,6.6,9.2,1.7,1.2,1.0,2.8,3.0,14.9,,-0.51,2,203,92,Forward
499,Cuttino Mobley\moblecu01,1997-98,Rhode Island,A-10,34,,,5.7,11.8,.480,3.6,6.9,.525,2.0,4.9,.416,3.9,4.5,.856,,,4.3,2.6,1.6,0.5,,,17.2,,6.43,4,193,86,Guard
500,John Amaechi\amaecjo01,,Vanderbilt,,24,,13.0,1.1,2.4,.456,1.1,2.4,.456,0.0,0.0,,0.6,1.0,.560,,,2.7,0.3,0.4,0.5,1.1,1.5,2.8,,,6,208,122,Center
501,Malik Hairston\hairsma01,2007-08,Oregon,Pac-10,31,31,31.5,5.7,10.8,.525,4.0,6.9,.577,1.7,3.9,.433,3.3,4.5,.732,1.5,3.4,4.8,2.1,0.6,0.8,1.8,2.9,16.3,,7.65,4,198,99,Guard
502,Ben Moore\moorebe01,2016-17,SMU,AAC,35,35,32.3,4.5,8.1,.560,4.5,8.0,.566,0.0,0.1,.200,2.3,3.7,.625,2.6,5.2,7.8,2.4,0.9,1.1,1.6,2.7,11.4,,4.45,4,203,92,Forward
503,D.J. Augustin\augusdj01,2007-08,Texas,Big 12,38,38,37.3,6.4,14.5,.439,4.4,9.4,.471,1.9,5.1,.381,4.6,5.8,.783,0.5,2.4,2.9,5.8,1.2,0.0,2.8,1.6,19.2,,8.59,2,183,81,Guard
504,Vin Baker\bakervi01,1992-93,Hartford,NAC,28,,36.4,10.9,22.8,.477,9.8,18.6,.525,1.1,4.3,.269,5.4,8.6,.625,,,10.7,1.9,1.4,2.6,2.9,2.8,28.3,,-6.08,4,211,105,Forward
505,Jonah Bolden\boldejo01,2015-16,UCLA,Pac-12,31,11,21.7,1.6,4.0,.415,1.4,2.8,.483,0.3,1.2,.250,1.1,1.5,.733,1.2,3.7,4.8,1.1,0.7,0.9,0.8,2.1,4.6,,9.69,1,208,97,Forward
506,Frank Williams\willifr02,2001-02,Illinois,Big Ten,35,34,32.4,5.0,12.7,.393,3.4,8.1,.423,1.5,4.5,.340,4.7,5.8,.808,0.9,3.7,4.7,4.4,2.0,0.3,2.7,2.1,16.2,,9.94,3,190,96,Guard
507,Billy Thomas\thomabi01,1997-98,Kansas,Big 12,36,34,26.7,5.0,10.8,.468,2.1,3.5,.608,2.9,7.3,.401,0.6,0.9,.688,,,3.0,2.8,1.7,0.1,1.3,1.1,13.6,,6.54,4,193,94,Guard
508,Andre Drummond\drumman01,2011-12,UConn,Big East,34,30,28.4,4.6,8.6,.538,4.6,8.5,.541,0.0,0.1,.000,0.8,2.6,.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0,,8.07,1,208,122,Center
509,Nick Calathes\calatni01,2008-09,Florida,SEC,36,35,33.3,5.7,11.8,.482,3.7,6.6,.555,2.0,5.2,.390,3.8,5.3,.707,0.9,4.5,5.3,6.4,1.9,0.2,3.3,1.9,17.2,,3.88,2,198,87,Guard
510,Mohamed Bamba\bambamo01,2017-18,Texas,Big 12,30,29,30.2,4.9,9.0,.541,4.4,7.3,.603,0.5,1.7,.275,2.7,4.0,.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,,10.67,1,211,102,Forward
511,Jared Cunningham\cunnija01,2009-10,Cleveland State,Horizon,33,12,14.8,1.8,4.9,.377,1.1,2.6,.419,0.8,2.3,.329,0.7,1.0,.750,0.7,1.9,2.6,0.4,0.4,0.4,0.7,2.1,5.2,,2.12,1,206,106,Forward
512,Kentavious Caldwell-Pope\caldwke01,2012-13,Georgia,SEC,32,30,33.9,5.8,13.4,.433,3.2,6.4,.498,2.6,7.0,.373,4.2,5.3,.799,1.2,5.9,7.1,1.8,2.0,0.5,2.0,2.2,18.5,,6.09,2,196,92,Guard
513,Isaiah Taylor\taylois01,2015-16,Texas,Big 12,33,33,30.9,4.8,11.5,.420,4.2,9.6,.440,0.6,1.8,.311,4.8,5.9,.811,0.4,2.4,2.8,5.0,0.9,0.2,1.8,2.7,15.0,,11.71,3,185,77,Guard
514,Nate Huffman\huffmna01,1996-97,Central Michigan,MAC,26,,29.6,5.8,10.0,.579,5.0,8.2,.612,0.8,1.8,.426,4.8,6.5,.734,,,11.0,1.8,1.1,1.8,,,17.2,,-0.01,2,216,111,Center
515,Tony Smith\smithto02,1989-90,Marquette,MW Coll,29,,39.0,8.3,16.7,.495,7.0,13.7,.513,1.2,3.0,.414,6.0,7.0,.856,,,4.7,5.8,1.8,0.6,3.9,2.8,23.8,,3.73,4,190,83,Guard
