,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
207,Sean May\mayse01,2004-05,UNC,ACC,37,36.0,26.8,6.2,10.9,0.5670000000000001,6.2,10.8,0.5710000000000001,0.0,0.1,0.0,5.2,6.8,0.758,3.8,6.9,10.7,1.7,1.2,1.0,2.5,2.4,17.5,,10.66,3,206,120,Center,0
208,Xavier Henry\henryxa01,2009-10,Kansas,Big 12,36,36.0,27.5,4.5,9.8,0.45799999999999996,2.6,5.3,0.49200000000000005,1.9,4.6,0.418,2.5,3.2,0.7829999999999999,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,,8.25,1,198,99,Guard,0
209,Al-Farouq Aminu\aminual01,2009-10,Wake Forest,ACC,31,30.0,31.3,5.4,12.1,0.447,4.8,9.9,0.484,0.6,2.1,0.273,4.5,6.4,0.698,4.3,6.4,10.7,1.3,1.4,1.4,3.2,2.9,15.8,,8.85,2,206,97,Forward,0
210,D'Angelo Russell\russeda01,2014-15,Ohio State,Big Ten,35,34.0,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.41100000000000003,3.4,4.5,0.7559999999999999,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,,7.37,1,196,81,Guard,0
211,Richaun Holmes\holmeri01,2014-15,Bowling Green State,MAC,31,30.0,28.8,5.3,9.5,0.563,4.7,8.1,0.588,0.6,1.4,0.419,3.5,4.9,0.7120000000000001,2.8,5.2,8.0,0.8,0.7,2.7,1.9,2.5,14.7,,-1.25,3,203,111,Forward,0
212,Landry Fields\fieldla01,2009-10,Stanford,Pac-10,32,32.0,36.3,7.8,15.8,0.49,6.8,13.1,0.521,0.9,2.7,0.337,5.6,8.0,0.696,2.5,6.2,8.8,2.8,1.6,0.8,2.6,2.0,22.0,,6.5,4,201,97,Guard,0
213,Josh Childress\childjo01,2003-04,Stanford,Pac-10,23,18.0,29.8,5.4,11.0,0.488,3.9,7.3,0.536,1.5,3.7,0.395,3.4,4.1,0.821,1.9,5.6,7.5,2.7,0.9,1.6,2.2,2.3,15.7,,4.34,3,203,95,Forward,0
214,Andrew Bogut\bogutan01,2004-05,Utah,MWC,35,35.0,35.0,8.0,12.9,0.62,7.8,12.2,0.636,0.3,0.7,0.36,4.1,5.9,0.6920000000000001,3.7,8.5,12.2,2.3,1.0,1.9,2.7,2.2,20.4,,4.54,2,213,111,Forward,0
215,Kris Joseph\josepkr01,2011-12,Syracuse,Big East,37,37.0,32.2,4.4,10.5,0.42100000000000004,3.1,6.5,0.467,1.4,4.0,0.345,3.2,4.2,0.745,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,,8.02,4,201,95,Forward,0
216,Gary Trent\trentga02,1994-95,Ohio,MAC,33,,34.4,8.9,16.8,0.527,8.6,15.8,0.547,0.2,1.1,0.22899999999999998,4.9,7.7,0.642,,,12.8,2.4,0.6,0.8,3.5,2.3,22.9,,3.58,3,203,113,Forward,0
217,Josh McRoberts\mcrobjo01,2006-07,Duke,ACC,33,32.0,35.3,5.0,9.9,0.502,4.8,9.2,0.523,0.2,0.7,0.217,2.9,4.4,0.664,2.1,5.8,7.9,3.5,1.2,2.5,2.4,2.5,13.0,,10.48,2,208,108,Forward,0
218,Cory Joseph\josepco01,2010-11,Texas,Big 12,36,36.0,32.4,3.8,8.9,0.42200000000000004,2.3,5.4,0.429,1.4,3.5,0.413,1.4,2.0,0.6990000000000001,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8,10.4,,7.96,1,190,83,Guard,0
219,Okaro White\whiteok01,2013-14,Florida State,ACC,36,35.0,30.1,4.6,9.0,0.514,3.9,7.2,0.5479999999999999,0.7,1.8,0.375,3.7,4.7,0.7979999999999999,2.1,4.7,6.8,0.9,0.8,1.1,1.9,3.0,13.6,,8.13,4,203,92,Forward,0
220,Jameel Warney\warneja01,2015-16,Stony Brook,AEC,33,33.0,32.9,8.2,13.1,0.63,8.2,13.1,0.63,0.0,0.0,,3.4,5.4,0.624,4.5,6.3,10.8,1.6,0.9,3.0,1.3,2.2,19.8,,-5.28,4,203,115,Forward,0
221,Jamal Robinson\robinja03,1996-97,Virginia,ACC,31,,22.3,2.4,5.9,0.39899999999999997,2.3,5.4,0.428,0.1,0.5,0.11800000000000001,0.8,1.9,0.431,,,4.8,1.9,0.7,0.3,,,5.6,,11.38,4,201,96,Guard,0
222,Maceo Baston\bastoma01,1997-98,Michigan,Big Ten,30,,,4.3,7.2,0.597,4.3,7.2,0.597,0.0,0.0,,4.1,6.3,0.654,,,7.4,1.2,0.8,1.1,,,12.7,,9.64,4,206,97,Forward,0
223,Marquis Teague\teaguma01,2011-12,Kentucky,SEC,40,40.0,32.6,3.6,8.8,0.41200000000000003,3.0,6.8,0.43799999999999994,0.7,2.0,0.325,2.1,3.0,0.7140000000000001,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10.0,,7.93,1,188,85,Guard,0
224,Rick Fox\foxri01,1990-91,UNC,ACC,35,32.0,28.5,5.9,13.0,0.45299999999999996,4.0,7.4,0.537,1.9,5.6,0.342,3.2,3.9,0.804,,,6.6,3.7,2.0,0.5,2.9,2.9,16.9,,10.91,4,201,104,Forward,0
225,Reggie Slater\slatere01,1991-92,Wyoming,WAC,29,,36.2,6.3,11.0,0.575,6.3,,,0.0,,,5.2,7.2,0.7140000000000001,,,11.3,2.0,,,,,17.9,,2.83,4,201,97,Forward,0
226,Predrag Savovic\savovpr01,2001-02,Hawaii,WAC,25,25,31.8,6.5,14.9,.438,3.5,7.2,.489,3.0,7.7,.391,4.2,5.1,.835,1.0,3.8,4.8,2.3,0.7,0.2,1.5,2.2,20.3,,1.15,4,198,102,Guard,1
227,Kyle Weaver\weaveky01,2007-08,Washington State,Pac-10,35,35.0,33.1,3.9,8.5,0.46299999999999997,3.3,6.6,0.491,0.7,1.9,0.364,3.6,4.9,0.733,1.1,4.2,5.3,4.3,1.7,0.7,2.8,1.9,12.2,,6.35,4,198,91,Guard,0
228,Ryan Reid\reidry01,2009-10,Florida State,ACC,31,29.0,22.7,2.6,5.4,0.491,2.6,5.4,0.491,0.0,0.0,,1.5,2.5,0.597,1.9,2.1,4.0,1.1,0.6,0.5,1.6,1.5,6.8,,6.79,4,203,106,Forward,0
229,Aaron Williams\williaa01,1992-93,Xavier,MW Coll,30,,28.1,4.2,7.8,0.5429999999999999,4.2,7.8,0.5429999999999999,0.0,0.0,,2.4,3.1,0.777,,,7.1,1.8,0.7,1.8,2.2,3.1,10.9,,2.75,4,206,99,Forward,0
230,Brook Lopez\lopezbr01,2007-08,Stanford,Pac-10,27,25.0,30.8,6.8,14.6,0.46799999999999997,6.8,14.3,0.475,0.0,0.2,0.0,5.7,7.2,0.789,2.9,5.3,8.2,1.4,0.6,2.1,2.1,2.4,19.3,,6.95,2,213,117,Forward,0
231,Jeff Foster\fosteje01,1998-99,Texas State,Southland,28,,28.1,5.1,10.2,0.498,5.1,10.2,0.498,0.0,0.0,,4.0,5.8,0.693,,,11.3,1.5,1.1,1.0,2.0,1.0,14.2,,-8.23,4,211,107,Center,0
232,Chris Garner\garnech01,1996-97,Memphis,CUSA,31,,32.4,2.7,6.3,0.43799999999999994,2.0,3.6,0.5589999999999999,0.7,2.7,0.27699999999999997,0.6,0.8,0.6920000000000001,,,2.6,4.1,2.7,0.2,,,6.8,,6.46,4,178,70,Guard,0
233,Walt Williams\williwa02,1991-92,Maryland,ACC,29,29.0,35.9,8.8,18.7,0.47200000000000003,5.8,10.4,0.5529999999999999,3.1,8.3,0.371,6.0,8.0,0.758,,,5.6,3.6,2.1,1.0,3.8,3.4,26.8,,7.74,4,203,99,Forward,0
234,K.J. McDaniels\mcdankj01,2013-14,Clemson,ACC,36,35.0,33.7,5.8,12.6,0.45899999999999996,4.6,8.8,0.527,1.2,3.8,0.304,4.3,5.1,0.8420000000000001,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,,5.97,3,198,90,Forward,0
235,Dan Majerle\majerda01,1987-88,Central Michigan,MAC,32,,37.4,8.7,16.7,0.521,7.3,13.6,0.539,1.4,3.2,0.446,4.9,7.6,0.645,,,10.8,2.5,1.5,0.9,0.1,2.4,23.7,,-2.16,4,198,97,Guard,0
236,Craig Brackins\brackcr01,2009-10,Iowa State,Big 12,32,32.0,35.1,6.0,14.3,0.42,5.2,11.6,0.446,0.8,2.7,0.31,3.7,4.8,0.76,2.1,6.4,8.5,2.2,0.8,1.2,2.1,2.0,16.5,,8.37,3,208,104,Forward,0
