playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position
Paul Millsap\millspa01,2005-06,Louisiana Tech,WAC,33,33,34.1,7.8,13.7,0.571,7.7,13.3,0.578,0.2,0.4,0.357,3.8,6.2,0.623,6,7.3,13.3,1.1,1.9,2.3,2.5,3.1,19.6,,2.55,3,203,111,Forward
Evan Turner\turneev01,2009-10,Ohio State,Big Ten,31,31,35.7,7.6,14.7,0.519,7,13,0.54,0.6,1.8,0.364,4.5,5.9,0.754,2,7.2,9.2,6,1.7,0.9,4.4,2.8,20.4,,7.37,3,201,95,Guard
Darrell Arthur\arthuda01,2007-08,Kansas,Big 12,40,39,24.7,5.4,9.9,0.543,5.3,9.6,0.555,0.1,0.3,0.167,2,2.9,0.702,2.3,4,6.3,0.8,0.5,1.3,1.9,3,12.8,,8.2,2,206,102,Forward
Theo Ratliff\ratlith01,1994-95,Wyoming,WAC,28,,32.6,5.3,9.7,0.544,5.3,9.5,0.551,0,0.2,0.2,3.8,6,0.633,,,7.5,1.1,0.6,5.1,2.5,3.4,14.4,,6.89,4,208,102,Forward
Rodney Rogers\rogerro01,1992-93,Wake Forest,ACC,30,29,32.7,8,14.4,0.555,7.2,12.1,0.591,0.8,2.2,0.358,4.5,6.2,0.717,,,7.4,2.3,1.8,0.9,3.2,2.7,21.2,,9.32,3,201,106,Forward
Norm Richardson\richano01,2000-01,Hofstra,AEC,31,30,34.5,5.2,12.7,0.41,3.8,8.5,0.451,1.4,4.2,0.326,4.9,6.7,0.736,1.5,4.4,6,2.8,1.5,0.3,3.3,2.3,16.7,,-5.47,4,196,86,Forward
J.J. Redick\redicjj01,2005-06,Duke,ACC,36,36,37.1,8.4,17.9,0.47,4.5,8.7,0.521,3.9,9.2,0.421,6.1,7.1,0.863,0.2,1.8,2,2.6,1.4,0.1,2.5,1.5,26.8,,8.77,4,193,86,Guard
Jonathan Isaac\isaacjo01,2016-17,Florida State,ACC,32,32,26.2,4.1,8,0.508,3.1,5.2,0.593,1,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12,,8.87,1,208,95,Forward
Todd Day\dayto01,1991-92,Arkansas,SEC,22,22,32.3,7.9,15.8,0.499,5.3,9.7,0.542,2.6,6,0.429,4.4,5.8,0.764,,,7,3.2,2.5,0.8,2.8,2.5,22.7,,8.2,4,198,85,Guard
Darren Collison\collida01,2008-09,UCLA,Pac-10,35,35,31.5,5,9.8,0.509,3.8,6.9,0.558,1.2,3,0.394,3.2,3.6,0.897,0.5,1.9,2.4,4.7,1.6,0.1,2.5,1.5,14.4,,7.18,4,185,72,Guard
Maurice Ager\agerma01,2005-06,Michigan State,Big Ten,34,34,34.4,6.6,14.6,0.457,4.2,8.1,0.522,2.4,6.5,0.376,3.6,4.7,0.761,0.7,3.4,4.1,2.5,0.7,0.3,2.6,2.4,19.3,,7.27,4,196,91,Guard
Darius Morris\morrida01,2010-11,Michigan,Big Ten,35,34,34.8,5.7,11.7,0.489,5.3,9.9,0.533,0.5,1.8,0.25,3.1,4.3,0.715,0.9,3.1,4,6.7,1,0,2.9,2.1,15,,10.68,2,193,86,Guard
Mateen Cleaves\cleavma01,1999-00,Michigan State,Big Ten,26,,31.5,4.2,10,0.421,3,6.7,0.443,1.2,3.3,0.376,2.5,3.3,0.756,,,1.8,6.9,1.4,0.2,3.7,2.2,12.1,,9.91,4,188,92,Guard
Billy Garrett\garrebi01,2016-17,DePaul,Big East,32,32,29.3,4.4,11.3,0.388,3.1,7.8,0.399,1.3,3.5,0.363,4.9,5.6,0.882,0.4,2.5,2.9,3.3,1.2,0.2,3.3,2.5,14.9,,7.78,4,198,92,Guard
John Amaechi\amaecjo01,1994-95,Vanderbilt,Big Ten,24,,13,1.1,2.4,0.456,1.1,2.4,0.456,0,0,,0.6,1,0.56,,,2.7,0.3,0.4,0.5,1.1,1.5,2.8,,,6,208,122,Center
Alan Williams\willial03,2003-04,Wake Forest,ACC,8,0,1.8,0.1,0.5,0.25,0,0,,0.1,0.5,0.25,0.3,0.3,1,0,0.3,0.3,0.3,0,0,0,0.3,0.6,,11.03,4,190,80,Guard
Ervin Johnson\johnser02,1992-93,New Orleans,Sun Belt,29,,33.3,7.2,11.6,0.619,7.2,11.6,0.619,0,0,,4.1,6,0.674,,,11.9,0.6,0.9,2.7,2.6,3,18.4,,0.55,4,211,111,Center
Isaac Humphries\humphis01,2016-17,Kentucky,SEC,38,1,8.3,1.2,2.3,0.511,1.2,2.3,0.511,0,0,,0.4,0.7,0.6,1.3,1.4,2.8,0.2,0.2,0.5,0.4,1.5,2.8,,10.49,2,213,117,Forward
Daequan Cook\cookda02,2006-07,Ohio State,Big Ten,39,1,19.7,3.6,8.1,0.445,2.2,4.8,0.465,1.4,3.3,0.415,1.2,1.7,0.697,0.7,3.6,4.3,1,0.7,0.3,1.4,1.7,9.8,,9.03,1,196,92,Guard
Jay Williams\willija03,2001-02,Duke,ACC,35,35,33.6,7.1,15.6,0.457,4,7.5,0.536,3.1,8.1,0.383,4,5.9,0.676,0.8,2.8,3.5,5.3,2.2,0.1,3.7,2.3,21.3,,9.16,3,188,88,Guard
Rod Strickland\stricro02,1987-88,DePaul,Ind,26,,32.2,8,15.1,0.528,7,13,0.541,0.9,2.1,0.444,3.2,5.3,0.606,,,3.8,7.8,2.9,0.2,3.1,2,20,,3.23,3,190,79,Guard
Tierre Brown\brownti01,2000-01,McNeese State,Southland,31,31,34.3,6.9,16.7,0.411,5.2,11.8,0.443,1.6,4.9,0.336,4.7,5.9,0.793,2.1,3.6,5.7,3.6,1.8,0.2,3.2,2,20.1,,-8.42,4,188,85,Guard
DeMar DeRozan\derozde01,2008-09,USC,Pac-10,35,35,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,,9.15,1,201,99,Forward
Brandon Davies\daviebr01,2012-13,BYU,WCC,36,36,29.3,6.4,12.2,0.522,6.2,11.8,0.527,0.1,0.4,0.357,4.8,7.1,0.682,2.1,5.9,8,2.4,1.3,1,2.6,3.1,17.7,,3.75,4,206,106,Forward
Andrew DeClercq\declean01,1994-95,Florida,SEC,30,,32.2,4.6,9,0.511,4.4,8.5,0.522,0.2,0.5,0.333,3.8,5.3,0.723,,,8.8,1.4,1.2,1.1,2.8,3.4,13.2,,11.31,4,208,104,Forward
Quincy Pondexter\pondequ01,2009-10,Washington,Pac-10,36,36,32.3,6.8,12.9,0.528,6.3,11.5,0.55,0.5,1.4,0.353,5.2,6.3,0.827,3,4.4,7.4,1.8,1.3,0.6,1.9,2.5,19.3,,7.49,4,201,97,Forward
Marcus Smart\smartma01,2013-14,Oklahoma State,Big 12,31,31,32.7,5.3,12.5,0.422,3.7,7.2,0.514,1.6,5.3,0.299,5.9,8.1,0.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9,18,,8.34,2,193,99,Guard
Chris Quinn\quinnch01,2005-06,Notre Dame,Big East,29,29,40,6,13.3,0.45,3.6,7.6,0.473,2.4,5.8,0.419,3.3,3.8,0.872,0.8,2.9,3.8,6.4,1.6,0.1,2.7,2.1,17.7,,6.68,4,188,83,Guard
Nikola Vucevic\vucevni01,2010-11,USC,Pac-10,34,34,34.9,6.3,12.5,0.505,5.5,10.1,0.542,0.9,2.4,0.349,3.6,4.8,0.755,2.9,7.4,10.3,1.6,0.5,1.4,1.7,2.8,17.1,,7.96,3,208,99,Forward
Michael Curry\currymi01,1989-90,Georgia Southern,TAAC,28,,33.1,5.9,9.4,0.621,5.9,9.3,0.628,0,0.1,0,4.9,6.1,0.806,,,7,2.1,1.2,0.2,,,16.6,,-8.44,4,196,95,Guard
Brandon Knight\knighbr03,2010-11,Kentucky,SEC,38,38,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,,8.91,1,190,83,Guard
Kyrie Irving\irvinky01,2010-11,Duke,ACC,11,8,27.5,5,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,,8.31,1,188,81,Guard
Andre Ingram\ingraan01,2006-07,American,Patriot,30,30,34.5,5,11.9,0.42,2.4,5.8,0.416,2.6,6.1,0.424,2.6,3.2,0.832,0.7,4,4.8,1.8,1.2,0.1,1.3,1.7,15.2,,-4.38,4,190,86,Guard
Caleb Swanigan\swanica01,2016-17,Purdue,Big Ten,35,35,32.5,6.3,12,0.527,5.3,9.6,0.548,1.1,2.4,0.447,4.7,6,0.781,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,,8.79,2,206,117,Forward
Chris McCullough\mcculch01,2014-15,Syracuse,ACC,16,16,28.1,3.4,7.1,0.478,3.3,7,0.473,0.1,0.1,1,2.5,4.4,0.563,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,,7.68,1,208,99,Forward
Jarron Collins\collija03,2000-01,Stanford,Pac-10,34,34,28.3,4.5,8.1,0.558,4.5,7.9,0.563,0.1,0.2,0.333,3.7,5.4,0.687,2,4.7,6.7,1.4,0.6,0.6,1.5,2.5,12.8,,9.86,4,211,115,Forward
Derrick Caracter\caracde01,,Louisville,,52,14,16,3.2,5.7,0.559,3.2,5.7,0.557,0,0,1,1.9,3.1,0.595,2.2,2.1,4.3,0.4,0.5,0.7,1.8,3.1,8.3,,,5,206,124,Forward
Renaldo Balkman\balkmre01,2005-06,South Carolina,SEC,38,22,25.7,4,6.6,0.608,3.9,6.2,0.624,0.1,0.3,0.308,1.5,2.7,0.538,2.1,4.2,6.3,1.9,1.7,1.3,1.7,2.2,9.6,,8.14,3,203,94,Forward
Sean Kilpatrick\kilpase01,2013-14,Cincinnati,AAC,34,33,33.8,6.3,14.9,0.423,3.6,7,0.506,2.7,7.9,0.348,5.3,6.3,0.845,1.1,3.2,4.3,2.5,1.4,0,2.1,1.4,20.6,,5.28,4,193,95,Guard
Will Solomon\solomwi01,2000-01,Clemson,ACC,30,28,33.3,6.1,15.4,0.397,2.9,7,0.421,3.2,8.4,0.377,4.3,5.5,0.788,0.6,2.3,2.9,3.4,1.4,0.3,4.1,2.4,19.7,,8.31,3,185,83,Guard
Gabe Pruitt\pruitga01,2006-07,USC,Pac-10,26,24,33.1,4,9.6,0.416,2.2,4.3,0.496,1.8,5.3,0.35,2.6,3.3,0.8,0.6,2.2,2.8,4.3,1.8,0.3,1.8,2.2,12.5,,7.87,3,193,77,Guard
Jonathon Simmons\simmojo02,2011-12,Houston,CUSA,30,29,30.1,5.1,10,0.512,4.1,7.3,0.56,1.1,2.8,0.386,3.4,4.7,0.716,1.4,3.6,5,2.2,0.7,0.4,3.3,2.5,14.7,,0.21,1,198,88,Guard
Chris Johnson\johnsch04,2011-12,Dayton,A-10,32,32,29.7,4.1,8.8,0.465,1.9,3.4,0.574,2.2,5.4,0.397,2.1,2.5,0.848,2.5,3.9,6.4,1.3,0.7,0.6,1.6,2.3,12.4,,4.3,4,198,97,Forward
Charles Jenkins\jenkich01,2010-11,Hofstra,CAA,33,33,37.3,7.5,14.6,0.517,5.5,9.8,0.563,2,4.8,0.42,5.5,6.7,0.824,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2,22.6,,0.13,4,190,99,Guard
