,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position
788,Ryan Broekhoff\broekry01,2012-13,Valparaiso,Horizon,33,33,32.2,4.8,10.7,.448,2.3,4.7,.487,2.5,6.0,.417,3.6,4.1,.881,1.2,6.1,7.3,2.3,1.0,0.8,1.9,1.4,15.7,,-1.13,4,201,97,Guard
789,Chucky Atkins\atkinch01,1995-96,South Florida,CUSA,28,,38.0,6.3,14.5,.432,3.3,6.6,.503,2.9,7.9,.373,3.9,5.0,.773,,,3.0,4.0,1.3,0.3,3.3,1.9,19.3,,3.41,4,180,72,Guard
790,DaJuan Summers\summeda01,2008-09,Georgetown,Big East,31,31,29.4,4.4,9.3,.474,2.7,5.0,.552,1.7,4.4,.385,3.1,4.4,.713,1.2,3.0,4.1,1.3,1.1,0.7,2.6,2.6,13.6,,8.97,3,203,107,Forward
791,Kevin Edwards\edwarke01,1987-88,DePaul,Ind,30,,33.3,7.3,13.8,.533,6.5,11.9,.546,0.8,1.9,.446,2.8,3.5,.783,,,5.3,3.9,2.3,0.6,2.4,2.0,18.3,,3.23,2,190,86,Guard
792,Sonny Weems\weemsso01,2007-08,Arkansas,SEC,34,34,31.4,5.8,12.5,.464,4.2,8.2,.513,1.6,4.3,.370,1.8,2.2,.803,1.6,2.8,4.5,2.6,1.3,0.2,2.8,2.2,15.0,,6.73,2,198,92,Forward
793,Devin Robinson\robinde01,2016-17,Florida,SEC,36,35,26.4,3.9,8.3,.475,2.8,5.3,.524,1.2,3.1,.391,2.0,2.8,.723,1.7,4.4,6.1,0.6,0.9,0.8,1.1,2.3,11.1,,11.01,3,203,80,Forward
794,Ira Newble\newblir01,1996-97,Miami (OH),MAC,29,,26.1,4.8,8.0,.597,4.6,7.6,.606,0.1,0.3,.400,1.7,2.6,.662,,,7.5,1.2,1.2,0.8,,,11.3,,0.63,2,201,99,Center
795,Lazar Hayward\haywala01,2009-10,Marquette,Big East,34,34,32.3,6.5,15.1,.432,4.6,9.6,.479,1.9,5.5,.349,3.1,3.7,.843,2.1,5.4,7.5,1.5,1.9,0.5,2.0,3.4,18.1,,8.23,4,198,102,Forward
796,Maurice Ndour\ndourma01,2014-15,Ohio,MAC,30,29,34.9,5.5,11.3,.484,4.6,9.2,.495,0.9,2.1,.435,4.1,5.3,.785,2.3,6.1,8.3,1.7,1.1,2.3,3.0,2.8,16.0,,0.45,2,206,90,Forward
797,Jerryd Bayless\bayleje01,2007-08,Arizona,Pac-10,30,30,35.7,5.8,12.6,.458,3.8,7.8,.489,2.0,4.8,.407,6.2,7.4,.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7,,10.22,1,190,90,Guard
798,Rawle Marshall\marshra01,,Ball State,,13,0,6.5,0.8,1.6,.476,0.8,1.5,.500,0.0,0.1,.000,0.8,1.1,.786,0.4,0.8,1.2,0.2,0.2,0.2,0.6,1.2,2.4,,,6,206,86,Guard
799,Chris Singleton\singlch01,2010-11,Florida State,ACC,28,25,29.1,4.4,10.2,.434,3.2,6.8,.466,1.3,3.4,.368,3.0,4.5,.667,2.1,4.8,6.8,1.2,2.0,1.5,2.2,3.2,13.1,,6.45,3,206,99,Forward
800,Jackson Vroman\vromaja01,2003-04,Iowa State,Big 12,32,31,30.7,5.8,10.3,.564,5.8,10.1,.573,0.0,0.2,.143,2.3,4.4,.507,3.7,5.9,9.6,2.3,1.4,0.7,3.2,3.5,13.9,,8.06,2,208,99,Forward
801,D.J. Kennedy\kennedj01,2010-11,St. John's (NY),Big East,32,31,28.7,3.3,7.1,.456,2.6,5.4,.486,0.6,1.7,.364,3.3,4.2,.778,1.4,4.3,5.6,2.0,1.8,0.5,1.7,2.1,10.4,,10.01,4,196,97,Guard
802,Luke Harangody\haranlu01,2009-10,Notre Dame,Big East,30,25,33.0,8.1,16.9,.481,7.3,14.2,.514,0.8,2.7,.309,4.7,5.9,.787,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3,21.8,,6.22,4,203,111,Forward
803,Cheick Diallo\diallch01,2015-16,Kansas,Big 12,27,1,7.5,1.2,2.1,.569,1.2,2.1,.569,0.0,0.0,,0.6,1.0,.556,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0,,11.22,1,206,98,Forward
804,Eric Bledsoe\bledser01,2009-10,Kentucky,SEC,37,35,30.3,3.9,8.4,.462,2.6,5.0,.516,1.3,3.5,.383,2.2,3.3,.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,,6.82,1,185,86,Guard
805,Andre Drummond\drumman01,2011-12,UConn,Big East,34,30,28.4,4.6,8.6,.538,4.6,8.5,.541,0.0,0.1,.000,0.8,2.6,.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0,,8.07,1,208,122,Center
806,Milton Doyle\doylemi01,2016-17,Loyola (IL),MVC,32,32,32.6,5.3,11.8,.447,4.0,8.1,.488,1.3,3.6,.353,3.4,4.3,.797,0.6,4.4,5.0,4.4,1.7,0.7,2.9,2.4,15.2,,1.02,4,193,83,Guard
807,Jordan Farmar\farmajo01,2005-06,UCLA,Pac-10,37,37,30.4,4.6,11.4,.410,2.9,6.2,.472,1.7,5.1,.333,2.5,3.4,.717,0.6,2.0,2.6,5.1,1.1,0.2,3.6,1.7,13.5,,8.27,2,188,81,Guard
808,Chris Wright\wrighch01,2010-11,Dayton,A-10,36,35,28.8,5.0,10.8,.459,4.8,10.2,.473,0.1,0.6,.227,3.1,5.1,.600,2.3,6.1,8.4,1.8,0.8,1.4,2.8,2.8,13.2,,3.20,4,203,102,Forward
809,Anthony Brown\brownan02,2008-09,Oklahoma State,Big 12,33,1,13.2,0.9,1.8,.508,0.9,1.8,.508,0.0,0.0,,0.6,1.0,.594,0.8,1.2,2.1,0.3,0.3,0.4,0.4,2.0,2.4,,7.44,2,198,102,Forward
810,Kaniel Dickens\dickeka01,1999-00,Idaho,Big West,29,,27.4,4.1,8.4,.486,3.6,7.2,.502,0.4,1.2,.382,3.5,5.5,.638,,,6.6,0.9,0.9,0.9,2.2,3.3,12.1,,1.53,2,203,97,Center
811,Andrew Nicholson\nichoan01,2011-12,St. Bonaventure,A-10,32,32,30.1,6.9,12.0,.571,6.2,10.4,.593,0.7,1.7,.434,4.0,5.2,.776,2.6,5.8,8.4,1.0,0.7,2.0,2.5,2.8,18.5,,2.84,4,206,108,Forward
812,Isaiah Briscoe\briscis01,2016-17,Kentucky,SEC,36,36,30.4,4.5,9.6,.470,4.1,8.0,.507,0.5,1.6,.288,2.6,4.1,.635,1.5,3.9,5.4,4.2,0.8,0.2,2.5,2.6,12.1,,10.49,2,190,91,Guard
813,Ira Bowman\bowmair01,,Providence,,43,,11.4,1.3,2.6,.514,1.3,2.5,.528,0.0,0.1,.200,1.3,2.1,.644,,,1.0,0.9,0.6,0.0,,,4.0,,,7,196,88,Forward
814,Stephen Curry\curryst01,2008-09,Davidson,Southern,34,34,33.7,9.2,20.2,.454,5.4,10.3,.519,3.8,9.9,.387,6.5,7.4,.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,,-3.33,3,190,83,Guard
815,Darius Songaila\songada01,2001-02,Wake Forest,ACC,34,34,30.5,6.0,11.5,.523,5.8,11.0,.529,0.2,0.5,.375,5.7,6.6,.854,2.2,5.9,8.1,2.6,1.3,0.8,3.5,3.1,17.9,,10.28,4,206,112,Forward
816,Pierre Jackson\jackspi01,2012-13,Baylor,Big 12,36,35,34.8,6.0,14.1,.427,3.6,7.3,.490,2.4,6.8,.359,5.3,6.7,.800,0.7,3.1,3.8,7.1,1.5,0.0,3.4,2.2,19.8,,7.13,2,178,81,Guard
817,Brandon Williams\willibr01,1995-96,Davidson,Southern,30,,27.8,6.5,13.0,.496,4.8,8.9,.537,1.7,4.1,.407,3.6,4.6,.775,,,6.0,1.2,1.2,1.0,,,18.2,,-4.90,4,198,97,Forward
818,Mike Harris\harrimi01,2004-05,Rice,WAC,31,31,32.5,7.7,12.7,.608,7.5,11.8,.637,0.2,0.9,.241,4.9,6.1,.800,3.6,8.1,11.7,1.3,1.3,1.2,2.2,2.6,20.6,,3.07,4,198,108,Forward
819,Josh Hart\hartjo01,2016-17,Villanova,Big East,36,35,33.1,6.6,12.9,.510,4.5,7.8,.579,2.1,5.1,.404,3.5,4.7,.747,1.4,5.0,6.4,2.9,1.6,0.3,2.0,2.3,18.7,,9.28,4,196,92,Guard
820,D.J. Wilson\wilsodj01,2016-17,Michigan,Big Ten,38,36,30.4,4.3,8.0,.538,3.2,5.1,.631,1.1,2.9,.373,1.3,1.6,.833,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11.0,,10.17,3,206,99,Forward
821,Daniel Orton\ortonda01,2009-10,Kentucky,SEC,38,0,13.2,1.3,2.4,.527,1.3,2.3,.539,0.0,0.1,.000,0.9,1.7,.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,,6.82,1,211,115,Forward
822,Andre Roberson\roberan03,2012-13,Colorado,Pac-12,31,30,33.4,4.3,8.9,.480,3.6,7.0,.521,0.6,1.9,.328,1.7,3.2,.551,3.0,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,,7.95,3,201,95,Forward
823,Miles Bridges\bridgmi02,2017-18,Michigan State,Big Ten,34,33,31.4,6.1,13.4,.457,4.1,7.7,.527,2.1,5.7,.364,2.7,3.2,.853,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6,17.1,,7.10,2,201,104,Guard
824,Tim Frazier\fraziti01,2013-14,Penn State,Big Ten,34,34,35.2,4.8,11.1,.430,4.1,8.6,.471,0.7,2.5,.291,4.6,5.9,.785,0.9,3.5,4.4,5.4,1.6,0.2,2.7,2.6,14.9,,7.06,5,185,77,Guard
825,Greg Smith\smithgr02,2009-10,Delaware State,MEAC,29,22,13.8,1.4,3.7,.380,1.3,3.6,.359,0.1,0.2,.800,0.2,0.3,.750,0.8,1.2,2.0,0.4,0.3,0.3,0.3,2.0,3.2,,-7.60,2,201,111,Forward
826,Amile Jefferson\jeffeam01,2016-17,Duke,ACC,35,35,29.7,4.2,6.8,.613,4.2,6.8,.613,0.0,0.0,,2.6,4.1,.629,2.4,6.0,8.4,1.5,0.7,1.9,1.4,2.7,10.9,,10.91,5,206,97,Forward
827,Alton Ford\fordal02,2000-01,Houston,CUSA,26,18,25.5,3.7,8.5,.432,3.3,7.2,.462,0.3,1.3,.265,3.1,5.1,.609,1.6,4.3,5.9,0.7,0.2,0.7,2.5,3.7,10.8,,4.91,1,206,124,Center
828,Omari Johnson\johnsom01,2010-11,Oregon State,Pac-10,31,26,26.7,2.9,6.3,.459,2.4,4.2,.574,0.5,2.2,.239,0.9,1.7,.519,1.9,4.4,6.2,1.0,0.8,0.3,1.5,1.4,7.2,,5.03,4,206,97,Forward
829,Ray Allen*\allenra02,1995-96,UConn,Big East,35,35,31.4,8.3,17.7,.472,5.1,10.6,.477,3.3,7.1,.466,3.4,4.2,.810,,,6.5,3.3,1.7,0.5,2.3,1.3,23.4,,8.19,3,196,92,Guard
830,Luke Jackson\jackslu02,2003-04,Oregon,Pac-10,31,31,34.6,6.8,13.9,.488,4.4,8.5,.519,2.4,5.4,.440,5.3,6.1,.862,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7,21.2,,6.91,4,201,97,Guard
831,Theo Pinson\pinsoth01,2017-18,UNC,ACC,37,37,29.7,3.5,7.4,.473,3.2,6.0,.532,0.3,1.4,.226,2.9,3.6,.818,1.5,5.0,6.5,5.1,1.1,0.5,2.4,2.3,10.3,,11.78,4,198,88,Forward
832,Glen Rice\ricegl01,1988-89,Michigan,Big Ten,37,37,34.0,9.8,17.0,.577,7.1,11.8,.604,2.7,5.2,.516,3.4,4.0,.832,,,6.3,2.3,1.1,0.3,2.2,2.0,25.6,,12.06,4,201,97,Forward
833,Ben Handlogten\handlbe01,1995-96,Western Michigan,MAC,27,,31.3,5.7,9.5,.599,5.7,9.5,.598,0.0,0.0,1.000,4.3,6.4,.671,,,8.8,1.6,1.4,1.5,3.0,2.8,15.7,,1.84,4,208,108,Forward
834,Richard Hamilton\hamilri01,1998-99,UConn,Big East,34,,32.1,7.3,16.4,.443,5.3,10.6,.496,2.0,5.8,.347,5.0,6.0,.833,,,4.8,2.7,1.2,0.3,2.4,1.6,21.5,,8.80,3,198,83,Guard
835,Morris Peterson\petermo01,1999-00,Michigan State,Big Ten,39,,29.1,5.6,12.0,.465,3.4,6.9,.494,2.2,5.1,.425,3.5,4.5,.773,,,6.0,1.3,1.2,0.3,2.2,2.0,16.8,,9.91,5,201,98,Forward
836,Earl Watson\watsoea01,2000-01,UCLA,Pac-10,32,32,34.8,5.4,10.9,.493,4.2,7.5,.556,1.2,3.4,.352,2.8,4.4,.636,1.3,2.3,3.7,5.2,1.9,0.3,3.4,3.1,14.7,,12.06,4,185,88,Guard
837,Darington Hobson\hobsoda01,2009-10,New Mexico,MWC,35,35,33.6,5.5,12.5,.440,4.4,9.5,.465,1.1,3.1,.361,3.7,5.7,.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,,3.84,1,201,92,Forward
838,Keita Bates-Diop\bateske01,2017-18,Ohio State,Big Ten,34,34,33.1,7.3,15.1,.480,5.3,9.7,.547,1.9,5.4,.359,3.3,4.1,.794,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8,,9.03,4,201,86,Forward
839,Julyan Stone\stoneju01,2010-11,UTEP,CUSA,35,35,36.5,2.9,5.8,.510,2.6,4.3,.596,0.4,1.5,.255,2.2,4.0,.561,1.2,6.3,7.5,5.3,1.5,0.6,1.9,2.4,8.5,,2.47,4,201,90,Guard
840,Willie Green\greenwi01,2002-03,Detroit,Horizon,30,30,34.0,8.1,16.6,.490,6.9,13.3,.519,1.2,3.3,.374,5.1,6.3,.805,1.1,3.9,4.9,2.5,1.3,0.4,2.3,2.4,22.6,,-0.10,4,193,90,Guard
841,Donte Greene\greendo01,2007-08,Syracuse,Big East,35,35,35.8,6.2,14.9,.418,3.7,7.4,.492,2.6,7.5,.345,2.7,3.8,.707,1.7,5.5,7.2,2.0,1.3,1.6,2.6,2.9,17.7,,7.96,1,211,102,Forward
842,Jamal Sampson\sampsja01,2001-02,California,Pac-10,32,31,24.9,2.4,5.7,.426,2.4,5.7,.426,0.0,0.0,,1.6,3.0,.526,2.5,4.1,6.5,1.2,0.5,1.7,1.7,2.7,6.4,,7.45,1,211,106,Forward
843,Bobby Jackson\jacksbo01,1996-97,Minnesota,Big Ten,35,,31.5,5.5,12.4,.441,4.6,9.6,.476,0.9,2.8,.320,3.5,4.4,.786,,,6.1,4.0,2.1,0.2,2.3,3.0,15.3,,9.20,2,185,83,Guard
844,Joakim Noah\noahjo01,2006-07,Florida,SEC,40,40,25.9,4.3,7.1,.607,4.3,7.1,.606,0.0,0.0,1.000,3.3,5.0,.663,2.6,5.9,8.4,2.3,1.1,1.8,2.5,2.3,12.0,,7.33,3,211,105,Center
845,Cole Aldrich\aldrico01,2009-10,Kansas,Big 12,36,36,26.8,4.1,7.4,.562,4.1,7.4,.562,0.0,0.0,,3.0,4.4,.679,3.1,6.8,9.8,0.9,0.8,3.5,1.6,2.6,11.3,,8.25,3,211,111,Center
846,Wesley Matthews\matthwe02,2008-09,Marquette,Big East,35,35,34.0,5.5,11.6,.475,4.3,8.3,.517,1.2,3.3,.368,6.1,7.3,.829,1.3,4.4,5.7,2.5,1.2,0.5,2.3,2.2,18.3,,7.87,4,196,99,Guard
847,Antonio Burks\burksan01,2003-04,Memphis,CUSA,30,30,34.3,5.9,12.4,.474,4.0,7.8,.511,1.9,4.6,.413,2.4,3.8,.632,0.5,2.7,3.2,5.5,2.4,0.2,2.5,2.3,16.0,,5.96,3,185,90,Guard
848,Jon Leuer\leuerjo01,2010-11,Wisconsin,Big Ten,34,34,33.5,6.7,14.2,.470,5.1,9.9,.513,1.6,4.3,.370,3.3,3.9,.843,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2,18.3,,9.41,4,208,103,Forward
849,Shane Edwards\edwarsh01,2008-09,Little Rock,Sun Belt,31,31,27.2,4.3,8.9,.487,3.8,7.1,.536,0.5,1.8,.291,2.7,4.0,.675,1.8,3.6,5.4,1.5,0.9,0.7,2.2,2.6,11.8,,-3.72,2,201,96,Forward
850,Nigel Hayes\hayesni01,2016-17,Wisconsin,Big Ten,37,37,32.2,4.9,10.6,.457,4.3,8.8,.488,0.6,1.9,.314,3.6,6.2,.587,2.2,4.4,6.6,2.7,0.8,0.4,1.7,1.8,14.0,,9.40,4,203,106,Forward
