playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Lance Thomas\thomala01,2009-10,Duke,ACC,Forward,40,39,25.3,1.7,3.9,0.439,1.7,3.9,0.439,0,0,,1.4,1.9,0.743,2.4,2.5,4.9,0.9,0.6,0.2,1.5,3,4.8,,9.21,4,206,102,0
Eric Williams\willier01,1994-95,Providence,Big East,Forward,30,,34.7,6.1,14.8,0.413,5.2,12.2,0.422,1,2.6,0.372,4.5,6.5,0.687,,,6.7,2.5,2,0.3,2.6,3.2,17.7,,7.55,2,203,99,0
David West\westda01,2002-03,Xavier,A-10,Forward,32,32,36.5,6.7,13,0.513,6.4,12.2,0.524,0.3,0.8,0.346,6.5,8,0.816,3.1,8.7,11.8,3.2,1.3,1.6,2.7,3,20.1,,4.61,4,206,108,0
Ronny Turiaf\turiaro01,2004-05,Gonzaga,WCC,Forward,31,31,31.2,5.1,10,0.508,5,9.7,0.513,0.1,0.2,0.286,5.7,8.4,0.683,2.4,7.1,9.5,1.5,0.4,1.9,2.3,2.7,15.9,,4.37,4,208,112,0
Lauri Markkanen\markkla01,2016-17,Arizona,Pac-12,Forward,37,37,30.8,5,10.2,0.492,3.1,5.8,0.545,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2,15.6,,7.63,1,213,104,0
DeAndre Liggins\liggide01,2010-11,Kentucky,SEC,Guard,38,28,31.6,2.9,6.9,0.424,2,4.5,0.442,0.9,2.4,0.391,1.8,2.8,0.648,0.6,3.4,4,2.5,1.2,0.7,1.4,2.5,8.6,,8.91,3,198,95,0
Randy Holcomb\holcora01,2001-02,San Diego State,MWC,Forward,33,32,32.3,6.7,12.9,0.516,6.3,11.7,0.539,0.4,1.2,0.3,3.2,5.1,0.635,2.7,6.3,9,1.7,0.7,1,3.5,2.5,16.9,,6.02,3,206,102,1
Greivis Vasquez\vasqugr01,2009-10,Maryland,ACC,Guard,33,32,33.9,6.7,15.5,0.429,4.6,9.7,0.47,2.1,5.8,0.359,4.2,4.9,0.857,1.2,3.5,4.6,6.3,1.7,0.4,3.4,2.1,19.6,,7.95,4,198,90,0
Rashad McCants\mccanra01,2004-05,UNC,ACC,Guard,33,30,25.9,5.5,11.3,0.489,3.4,6.2,0.544,2.2,5.1,0.423,2.8,3.8,0.722,0.8,2.2,3,2.7,1.3,0.7,1.9,2.4,16,,10.66,3,193,93,0
Tamar Slay\slayta01,2001-02,Marshall,MAC,Guard,30,30,34.4,6.5,14.6,0.446,3.9,8.3,0.468,2.7,6.4,0.419,3.2,4.3,0.731,1.3,4.1,5.4,2.4,1.6,0.5,3,2.7,18.9,,1.22,4,203,97,0
Jeff Teague\teaguje01,2008-09,Wake Forest,ACC,Guard,31,31,32,5.8,12,0.485,4.4,8.7,0.502,1.5,3.3,0.441,5.8,7.1,0.817,0.5,2.8,3.3,3.5,1.9,0.6,3.4,2.2,18.8,,7.36,2,188,81,0
Damion James\jamesda01,2009-10,Texas,Big 12,Forward,34,34,30.3,6.2,12.3,0.501,5.1,9.6,0.535,1.1,2.8,0.383,4.6,6.8,0.674,3.1,7.1,10.3,1,1.7,1.2,2,2.9,18,,7.38,4,201,102,0
Danny Manning\mannida01,1987-88,Kansas,Big 8,Forward,38,38,35.2,10,17.2,0.583,9.8,16.5,0.593,0.2,0.7,0.346,4.5,6.1,0.734,,,9,2,1.8,1.9,3,3,24.8,,10.77,4,208,104,0
Brandon Armstrong\armstbr01,2000-01,Pepperdine,WCC,Guard,31,30,33.1,7.7,17.3,0.447,5.3,10.9,0.484,2.5,6.4,0.384,4.1,5,0.826,1.2,2.1,3.3,1.5,1.5,0.2,2.1,2.7,22.1,,1.77,2,196,85,0
Jared Dudley\dudleja01,2006-07,Boston College,ACC,Forward,30,30,38.4,6.5,11.6,0.562,5.2,8.6,0.602,1.3,2.9,0.443,4.7,6.4,0.743,3,5.2,8.3,3,1.4,0.3,2.6,2.2,19,,9.21,4,201,102,0
Richie Frahm\frahmri01,1999-00,Gonzaga,WCC,Guard,35,,33.3,5.5,11.8,0.469,3,5.4,0.547,2.6,6.4,0.402,3.3,4.2,0.788,,,4.4,2.5,0.9,0.2,1.8,1.3,16.9,,4.64,4,196,95,0
Wesley Iwundu\iwundwe01,2016-17,Kansas State,Big 12,Forward,35,35,31.4,4.3,9,0.481,3.4,6.5,0.52,0.9,2.4,0.376,3.5,4.5,0.767,1,5.3,6.3,3.5,1,0.3,2.3,1.8,13,,10.48,4,201,92,0
Tyrone Nesby\nesbyty01,1997-98,UNLV,WAC,Forward,33,,,5.7,14.7,0.385,4.1,10,0.409,1.6,4.7,0.333,2.9,4.1,0.709,,,5.6,1.2,1.3,0.4,,,15.8,,5.31,2,198,102,0
Tyreke Evans\evansty01,2008-09,Memphis,CUSA,Guard,37,35,29,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,,4.63,1,198,99,0
Kasib Powell\powelka01,2002-03,Texas Tech,Big 12,Forward,35,35,35.7,5.8,11.7,0.496,5.7,11.3,0.509,0.1,0.4,0.143,3.3,5.5,0.603,1.9,4.1,6.1,4.3,0.9,0.4,1.6,2.3,15,,8.29,2,201,97,0
Rodney Buford\buforro01,1998-99,Creighton,MVC,Forward,31,,32.6,6.6,14.2,0.469,4.9,10.1,0.481,1.8,4,0.44,3.5,4.3,0.82,,,7.2,2.2,1.9,0.3,2.3,1.8,18.6,,4.86,4,196,85,0
Donyell Marshall\marshdo01,1993-94,UConn,Big East,Forward,34,34,34,9,17.6,0.512,7.8,13.8,0.568,1.2,3.9,0.311,5.9,7.8,0.752,,,8.9,1.6,1.3,3.3,2.9,2.1,25.1,,6.31,3,206,98,0
Omari Spellman\spellom01,2017-18,Villanova,Big East,Forward,40,39,28.1,4,8.4,0.476,2.4,4.7,0.511,1.6,3.8,0.433,1.2,1.8,0.7,2.3,5.8,8,0.8,0.7,1.5,1,2.3,10.9,,10.24,1,206,117,0
Derrick Dial\dialde01,1997-98,Eastern Michigan,MAC,Guard,29,,,7.7,15.8,0.484,4.9,9,0.548,2.7,6.8,0.399,2.9,3.7,0.785,,,6.7,2.3,1.3,0.9,,,20.9,,2.67,4,193,83,0
Spencer Hawes\hawessp01,2006-07,Washington,Pac-10,Center,31,24,28.9,6.2,11.7,0.532,6.2,11.6,0.533,0,0.1,0.333,2.4,3.2,0.755,2,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,,6.5,1,213,111,0
Jahlil Okafor\okafoja01,2014-15,Duke,ACC,Center,38,38,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0,0,,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,9.87,1,211,122,0
Chris Owens\owensch01,2001-02,Texas,Big 12,Forward,11,11,27.2,5.6,11.3,0.5,5.4,10.4,0.518,0.3,0.9,0.3,4.3,6.8,0.627,2.9,4.5,7.4,0.8,0.7,1.9,1.7,2.5,15.8,,9.98,4,201,111,1
Lonzo Ball\balllo01,2016-17,UCLA,Pac-12,Guard,36,36,35.1,5.3,9.5,0.551,3,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6,7.6,1.8,0.8,2.5,1.8,14.6,,6.39,1,198,86,0
Erick Barkley\barkler01,1999-00,St. John's (NY),Big East,Guard,28,,36.9,5.7,14.3,0.398,3.9,8.6,0.454,1.8,5.7,0.313,2.9,4.4,0.664,,,3,4.5,3,0.3,2.4,2.3,16,,6.96,2,185,80,0
Langston Galloway\gallola01,2013-14,St. Joseph's,A-10,Guard,34,34,36.2,5.6,12.6,0.444,2.4,5.4,0.446,3.2,7.2,0.443,3.4,4.1,0.826,0.8,3.4,4.3,1.6,1.1,0.5,0.8,2.4,17.7,,5.08,4,188,91,0
Jerrelle Benimon\benimje01,2013-14,Towson,CAA,Forward,36,36,36.3,6.3,11.8,0.529,5.9,10.6,0.554,0.4,1.2,0.318,5.8,8.1,0.713,2.3,8.9,11.2,3.6,0.7,1.2,3.4,2.9,18.7,,-3.06,4,203,111,1
Austin Croshere\croshau01,1996-97,Providence,Big East,Center,36,,33.1,5.6,12.2,0.455,3.9,7.4,0.525,1.7,4.9,0.349,5.1,5.7,0.888,,,7.5,1.5,1.1,0.7,2.6,2.6,17.9,,8.32,4,206,106,0
Toney Douglas\douglto01,2008-09,Florida State,ACC,Guard,35,35,36.5,6.8,15.3,0.446,4.4,9,0.489,2.4,6.3,0.385,5.4,6.6,0.81,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2,21.5,,7.91,4,185,92,1
Luke Ridnour\ridnolu01,2002-03,Oregon,Pac-10,Guard,33,33,35.4,6.2,14.2,0.432,3.7,7.8,0.473,2.5,6.4,0.382,4.9,5.6,0.88,0.6,2.8,3.4,6.6,1.9,0.1,3.9,2.3,19.7,,6.11,3,188,79,0
Cory Jefferson\jeffeco01,2013-14,Baylor,Big 12,Forward,38,38,29,4.8,9.7,0.5,4.5,8.7,0.515,0.4,1,0.368,3.6,5.6,0.64,2.8,5.4,8.2,1,0.4,1.3,1.3,2.2,13.7,,10.11,4,206,99,0
Derrick Zimmerman\zimmede01,2002-03,Mississippi State,SEC,Guard,31,31,33,3.2,6.7,0.476,2.7,5,0.538,0.5,1.7,0.288,2,3.1,0.649,0.8,3.4,4.2,5.5,1.9,0.8,3.4,2.1,8.9,,8,4,190,88,0
Stanley Johnson\johnsst04,2014-15,Arizona,Pac-12,Forward,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41,1,198,102,0
Al Thornton\thornal01,2006-07,Florida State,ACC,Guard,35,35,31.2,7,13.1,0.53,5.9,10.8,0.549,1,2.3,0.444,4.7,6,0.79,3,4.1,7.2,0.7,1.5,1.1,2.5,2.7,19.7,,8.63,4,203,99,0
DerMarr Johnson\johnsde03,1999-00,Cincinnati,CUSA,Guard,32,,27.5,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3,0.737,,,3.8,1.4,1,0.9,1.4,2,12.6,,8.5,1,206,91,0
Anthony Peeler\peelean01,1991-92,Missouri,Big 8,Guard,29,,35.4,7.5,16.4,0.459,5.6,11.8,0.475,1.9,4.6,0.417,6.4,8,0.806,,,5.5,3.9,2.1,0.3,3.5,2.5,23.4,,9.69,4,193,94,0
Tito Maddox\maddoti01,2000-01,Fresno State,WAC,Guard,25,24,32.3,4.4,11.2,0.391,3.6,8.4,0.427,0.8,2.8,0.286,3.9,5.5,0.703,1.2,4.5,5.8,8,1.6,0.2,5.2,2.7,13.5,,5.14,1,193,86,0
Larry Johnson\johnsla02,1990-91,UNLV,Big West,Forward,35,,31.8,8.8,13.3,0.662,8.3,11.9,0.698,0.5,1.4,0.354,4.6,5.7,0.818,,,10.9,3,2.1,1,2.2,2.3,22.7,,4.34,2,198,113,0
Arron Afflalo\afflaar01,2006-07,UCLA,Pac-10,Guard,36,36,32.9,5.8,12.7,0.461,3.4,6.2,0.549,2.4,6.4,0.375,2.8,3.5,0.802,0.4,2.3,2.8,1.9,0.6,0.2,1.8,1.8,16.9,,9.84,3,196,97,0
Trey Thompkins\thomptr02,2010-11,Georgia,SEC,Forward,30,29,31.2,6.5,13.4,0.481,5.7,11,0.52,0.8,2.5,0.311,2.7,4,0.689,1.9,5.8,7.6,1.4,1.1,1.7,2.5,2.2,16.4,,6.13,3,208,111,0
Chimezie Metu\metuch01,2017-18,USC,Pac-12,Forward,34,33,31,6,11.5,0.523,5.7,10.4,0.548,0.4,1.2,0.3,3.3,4.5,0.73,1.9,5.6,7.4,1.6,0.8,1.7,2,2.6,15.7,,6.29,3,211,97,0
Hiram Fuller\fullehi01,2002-03,Fresno State,WAC,Forward,28,13,23.8,3.5,6.3,0.548,3.5,6.3,0.551,0,0,0,3.1,4.4,0.707,2.8,4.6,7.4,0.5,0.9,1.2,2.4,3.3,10,,0.43,2,206,108,0
Chris Mihm\mihmch01,1999-00,Texas,Big 12,Center,33,,30.7,6.2,11.9,0.523,6,11.5,0.525,0.2,0.5,0.467,5,7,0.707,,,10.5,0.7,0.3,2.7,2.5,2.7,17.7,,9.61,3,213,120,0
Jason Collins\collija04,2000-01,Stanford,Pac-10,Center,34,34,26.3,4.9,8,0.62,4.6,7.2,0.637,0.4,0.8,0.462,4.3,5.4,0.784,2.7,5.1,7.8,1.5,0.8,1.3,1.6,2.3,14.5,,9.86,4,213,115,0
Perry Jones\jonespe01,2011-12,Baylor,Big 12,Forward,33,33,30.7,5.5,11,0.5,5.2,10,0.52,0.3,1,0.303,2.2,3.1,0.696,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,13.5,,8.03,2,211,106,0
James Anderson\anderja01,2010-11,BYU,MWC,Forward,31,1,7.7,0.5,1.4,0.326,0.5,1.4,0.326,0,0,,0.2,0.8,0.269,0.5,0.8,1.3,0.2,0.2,0.6,0.2,1.8,1.1,,5.76,3,208,108,0
T.J. McConnell\mccontj01,2014-15,Arizona,Pac-12,Guard,38,38,30.5,4.1,8.2,0.498,3.4,6.2,0.557,0.7,2.1,0.321,1.5,1.8,0.829,0.7,3.2,3.8,6.3,2.2,0.1,2.1,1.8,10.4,,7.41,4,185,88,1
