,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
50,Cody Martin,2018-19,Nevada,MWC,34,34,34.4,4.4,8.8,.505,3.4,6.0,.574,1.0,2.8,.358,2.2,2.9,.763,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5,12.1,,2.68,4,201,92,Forward,1
51,Mamadi Diakite,2018-19,Virginia,ACC,38,22,21.8,3.2,5.8,.550,3.1,5.3,.571,0.1,0.4,.294,0.9,1.3,.700,1.5,2.9,4.4,0.3,0.4,1.7,0.9,2.1,7.4,,10.15,3,206,103,Forward,0
52,Justin Wright-Foreman,2018-19,Hofstra,CAA,35,35,37.7,9.4,18.5,.511,6.3,11.1,.568,3.1,7.4,.425,5.1,5.9,.864,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1,,-4.53,4,188,86,Guard,0
53,Neemias Queta,2018-19,Utah State,MWC,35,35,27.1,4.8,7.8,.614,4.7,7.6,.618,0.1,0.1,.400,2.2,3.9,.565,2.5,6.4,8.9,1.6,0.7,2.4,2.3,3.1,11.8,,0.89,1,211,102,Center,0
54,Ignas Brazdeikis,2018-19,Michigan,Big Ten,37,37,29.6,5.1,11.0,.462,3.6,7.1,.500,1.5,3.9,.392,3.1,4.1,.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,,10.55,1,201,97,Forward,0
55,Marial Shayok,2018-19,Iowa State,Big 12,34,34,32.9,6.7,13.6,.496,4.6,8.2,.568,2.1,5.4,.386,3.2,3.6,.878,1.4,3.5,4.9,2.0,0.9,0.2,2.7,2.1,18.7,,9.30,4,198,89,Guard,1
56,Jalen McDaniels,2018-19,San Diego State,MWC,34,34,31.0,6.2,13.4,.466,5.5,11.2,.495,0.7,2.2,.320,2.7,3.7,.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,,2.47,2,208,88,Forward,0
57,Mfiondu Kabengele,2018-19,Florida State,ACC,37,0,21.6,4.4,8.8,.502,3.8,7.1,.534,0.6,1.8,.369,3.7,4.9,.761,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2,,10.26,2,208,113,Forward,0
58,Jaylen Hoard,2018-19,Wake Forest,ACC,31,30,30.2,4.9,10.7,.458,4.5,9.0,.502,0.4,1.7,.226,2.9,4.1,.717,2.6,5.0,7.6,1.5,0.6,0.6,2.5,2.2,13.1,,8.47,1,203,97,Forward,0
59,Jalen Pickett,2018-19,Siena,MAAC,33,32,37.1,5.6,12.8,.436,3.6,7.1,.506,2.0,5.7,.348,2.7,3.6,.746,1.3,3.3,4.6,6.7,2.0,0.9,2.4,2.3,15.8,,-6.47,1,193,86,Guard,0
60,Oshae Brissett,2018-19,Syracuse,ACC,34,34,33.0,4.3,11.0,.393,3.4,7.7,.445,0.9,3.3,.270,2.9,4.4,.660,2.2,5.3,7.5,1.8,1.0,0.8,2.0,2.1,12.4,,10.09,2,203,95,Forward,0
61,Phil Booth,2018-19,Villanova,Big East,36,36,35.1,6.1,13.9,.434,3.4,6.8,.506,2.6,7.2,.367,3.8,5.1,.749,0.4,3.5,3.9,3.8,0.8,0.2,2.3,1.9,18.6,,7.97,5,190,87,Guard,0
62,De'Andre Hunter,2018-19,Virginia,ACC,38,38,32.5,5.4,10.4,.520,4.2,7.6,.550,1.2,2.8,.438,3.2,4.1,.783,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0,15.2,,10.15,2,201,102,Guard,0
63,Tacko Fall,2018-19,UCF,AAC,33,33,24.9,4.7,6.2,.748,4.7,6.2,.748,0.0,0.0,,1.8,4.9,.362,2.5,5.1,7.6,0.5,0.2,2.6,1.8,2.8,11.1,,5.58,4,229,140,Center,0
64,Cam Reddish,2018-19,Duke,ACC,36,35,29.7,4.3,12.0,.356,1.8,4.6,.394,2.5,7.4,.333,2.4,3.2,.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,,11.97,1,203,98,Forward,0
65,Killian Tillie,2018-19,Gonzaga,WCC,15,0,16.6,2.3,4.7,.500,1.4,2.5,.553,0.9,2.1,.438,0.6,0.9,.643,0.8,3.1,3.9,1.5,0.7,0.7,0.7,2.9,6.2,,5.01,3,208,99,Forward,0
66,Bruno Fernando,2018-19,Maryland,Big Ten,34,33,30.0,5.1,8.4,.607,5.0,8.1,.618,0.1,0.3,.300,3.3,4.3,.779,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7,13.6,,10.09,2,208,108,Forward,0
67,Andrew Nembhard,2018-19,Florida,SEC,36,36,32.9,2.9,7.1,.414,2.0,4.3,.458,1.0,2.8,.347,1.2,1.5,.764,0.2,2.7,2.9,5.4,1.2,0.1,2.1,1.7,8.0,,11.22,1,196,86,Guard,0
68,A.J. Lawson,2017-18,North Texas,CUSA,37,30,25.3,3.5,8.4,.412,3.2,7.0,.453,0.3,1.4,.208,1.8,3.2,.555,1.3,3.6,4.9,2.1,0.8,0.3,2.0,3.1,9.0,,-0.40,2,196,88,Guard,0
69,Justin James,2003-04,Sacred Heart,NEC,18,5,12.2,1.9,4.4,.425,1.7,3.5,.476,0.2,0.9,.235,0.6,0.9,.688,0.8,1.7,2.5,0.4,0.7,0.7,0.9,2.1,4.6,,-7.66,4,198,90,Forward,0
70,Keldon Johnson,2018-19,Kentucky,SEC,37,36,30.7,4.6,10.1,.461,3.4,6.9,.498,1.2,3.2,.381,2.9,4.2,.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,,10.29,1,198,95,Guard,0
71,Rui Hachimura,2018-19,Gonzaga,WCC,37,37,30.2,7.4,12.6,.591,7.0,11.6,.606,0.4,1.0,.417,4.4,6.0,.739,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,,5.01,3,203,104,Forward,0
72,Naz Reid,2018-19,LSU,SEC,34,32,27.2,5.0,10.7,.468,4.2,8.3,.509,0.8,2.5,.333,2.7,3.8,.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,3.2,13.6,,9.15,1,208,113,Forward,0
73,Jordan Caroline,2018-19,Nevada,MWC,33,33,35.5,5.8,12.9,.452,4.5,9.2,.487,1.4,3.8,.368,3.9,6.3,.628,2.5,7.1,9.6,1.9,0.6,0.3,2.5,2.2,17.0,,2.68,4,201,104,Guard-Forward,1
74,Quentin Grimes,2018-19,Kansas,Big 12,36,36,27.4,2.9,7.7,.384,1.4,3.3,.444,1.5,4.4,.340,1.0,1.6,.603,0.5,2.0,2.5,2.0,0.6,0.2,1.9,2.4,8.4,,12.79,1,196,95,Guard,0
75,Zylan Cheatham,2018-19,Arizona State,Pac-12,34,34,32.4,4.2,7.9,.534,3.9,7.1,.543,0.3,0.7,.440,3.4,5.5,.618,2.1,8.2,10.3,3.2,0.8,0.8,3.0,2.7,12.1,,6.04,3,203,99,Forward,1
76,DaQuan Jeffries,2018-19,Tulsa,AAC,31,31,28.1,4.5,8.9,.502,3.0,4.9,.612,1.5,4.0,.366,2.7,3.5,.755,1.3,4.3,5.6,1.8,1.0,1.2,1.6,3.0,13.0,,3.86,3,196,104,Guard-Forward,1
77,Daniel Gafford,2018-19,Arkansas,SEC,32,32,28.7,6.7,10.1,.660,6.7,10.1,.660,0.0,0.0,,3.6,6.0,.591,2.8,5.8,8.7,0.7,0.9,2.0,2.4,2.8,16.9,,8.78,2,211,105,Forward,0
78,Cameron Johnson,2010-11,Texas State,Southland,29,24,24.1,4.6,9.6,.484,4.6,9.6,.484,0.0,0.0,,3.7,5.7,.645,2.0,3.4,5.4,0.7,0.8,0.6,2.3,3.5,12.9,,-5.89,4,201,97,Forward,0
79,Darius Garland,2018-19,Vanderbilt,SEC,5,5,27.8,5.8,10.8,.537,3.6,6.2,.581,2.2,4.6,.478,2.4,3.2,.750,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,,7.79,1,188,79,Guard,0
80,Ethan Happ,2018-19,Wisconsin,Big Ten,34,34,32.0,7.6,14.3,.530,7.6,14.1,.535,0.0,0.1,.000,2.2,4.7,.466,2.3,7.8,10.1,4.5,1.1,1.3,3.1,2.6,17.3,,11.01,4,208,107,Forward,0
81,Kouat Noi,2018-19,TCU,Big 12,31,19,30.2,4.9,11.5,.430,2.5,4.8,.534,2.4,6.7,.356,1.7,2.1,.788,1.8,3.2,4.9,1.2,1.2,0.3,1.5,2.0,13.9,,9.60,2,201,92,Forward,0
82,Jordan Nwora,2018-19,Louisville,ACC,34,29,31.9,5.8,13.1,.446,3.6,7.0,.508,2.3,6.1,.374,3.1,4.0,.765,1.2,6.5,7.6,1.3,0.9,0.4,2.4,2.1,17.0,,11.04,2,201,102,Forward,0
83,Terance Mann,2018-19,Florida State,ACC,37,36,31.7,4.0,7.9,.505,3.2,5.8,.547,0.8,2.1,.390,2.6,3.4,.790,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,,10.26,4,201,97,Guard,0
84,Dylan Windler,2018-19,Belmont,OVC,33,33,33.2,7.4,13.6,.540,4.3,6.6,.659,3.0,7.1,.429,3.5,4.2,.847,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,,-2.60,4,203,90,Forward-Guard,0
85,Jared Harper,2017-18,Fairfield,MAAC,4,1,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,,-3.68,4,185,86,Guard,0
86,Tremont Waters,2018-19,LSU,SEC,33,29,32.4,5.2,12.1,.430,3.5,6.9,.507,1.7,5.2,.327,3.2,3.9,.813,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,,9.15,2,180,79,Guard,0
