,playerName,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS, ,SOS,yearsInCollege,heightInCm,weightInKg,position,transferredSchools
237,Donald Royal\royaldo01,1986-87,Notre Dame,Ind,28,,36.7,4.7,8.2,.576,4.7,8.2,.576,0.0,0.0,,6.4,7.8,.820,,,7.0,1.3,1.0,0.4,,3.3,15.8,,6.04,4,203,95,Forward,0
238,Peter Aluma\alumape01,1996-97,Liberty,Big South,32,,29.3,5.8,11.2,.514,5.8,11.2,.515,0.0,0.0,.000,4.2,6.3,.655,,,6.6,1.1,0.9,3.0,,,15.7,,-6.95,4,208,117,Center,0
239,Ed Stokes\stokeed01,1992-93,Arizona,Pac-10,28,28,25.8,4.0,8.2,.489,4.0,8.2,.489,0.0,0.0,,3.5,4.9,.715,,,7.7,0.7,0.3,1.3,1.5,3.0,11.5,,8.28,4,213,119,Center,0
240,Clifford Rozier\roziecl01,1993-94,Louisville,Metro,34,34,32.5,7.3,11.8,.618,7.3,11.7,.619,0.0,0.0,.000,3.6,6.6,.545,,,11.1,1.6,0.9,2.2,3.4,2.8,18.1,,7.35,3,211,111,Center,1
241,Mike Peplowski\peplomi01,1992-93,Michigan State,Big Ten,28,,29.1,5.8,9.0,.639,5.8,9.0,.641,0.0,0.0,.000,3.0,4.5,.667,,,10.0,1.4,0.2,0.9,2.3,2.8,14.5,,7.92,4,208,122,Center,0
242,Bobby Hurley\hurlebo01,1992-93,Duke,ACC,32,32,35.6,4.9,11.7,.421,2.2,5.1,.421,2.8,6.5,.421,4.5,5.6,.803,,,2.6,8.2,1.5,0.0,3.4,1.9,17.0,,10.76,4,183,74,Guard,0
243,Alphonso Ford\fordal01,1992-93,Mississippi Valley State,SWAC,28,,32.7,9.0,20.6,.436,6.3,12.9,.486,2.7,7.7,.352,5.3,6.7,.791,,,5.3,3.9,1.9,0.4,3.1,2.4,26.0,,-3.93,4,185,86,Guard,0
244,Mark Hendrickson\hendrma01,1995-96,Washington State,Pac-10,23,,33.2,5.5,9.7,.572,5.2,8.3,.623,0.3,1.3,.258,5.1,7.2,.709,,,9.5,1.6,0.9,0.2,2.8,3.0,16.5,,5.86,4,206,99,Forward,0
245,Lorenzo Williams\willilo01,1990-91,Stetson,TAAC,31,,,3.9,7.2,.540,3.9,7.2,.540,0.0,0.0,,1.4,2.0,.667,,,10.1,1.6,0.5,3.6,,,9.2,,-6.94,2,206,90,Center,0
246,Ed Gray\grayed01,1996-97,California,Pac-10,26,,31.7,8.6,18.7,.461,7.2,13.8,.517,1.5,4.8,.302,6.1,7.7,.790,,,4.0,2.2,1.7,0.2,3.3,2.6,24.8,,10.03,3,190,95,Guard,1
247,Ryan Lorthridge\lorthry01,1993-94,Jackson State,SWAC,29,,31.6,7.0,15.8,.442,5.6,11.6,.484,1.4,4.2,.328,4.1,5.3,.761,,,4.1,4.2,1.4,0.2,,,19.4,,-8.92,3,193,86,Guard,0
248,Willie Burton\burtowi01,1989-90,Minnesota,Big Ten,32,31,31.3,6.6,12.7,.519,4.9,8.4,.587,1.6,4.3,.382,4.5,5.8,.770,,,6.4,1.8,1.2,0.8,2.7,2.8,19.3,,8.93,4,203,95,Forward,0
249,Robert Churchwell\churcro01,1993-94,Georgetown,Big East,31,,27.6,3.7,8.7,.426,3.2,7.3,.432,0.5,1.4,.395,1.7,2.3,.736,,,5.2,1.3,1.2,0.2,,,9.7,,12.07,4,198,88,Forward,0
250,James Scott\scottja01,1994-95,St. John's (NY),Big East,27,,,5.3,11.0,.485,4.4,8.2,.543,0.9,2.8,.316,2.4,3.3,.750,,,4.3,1.6,1.3,0.1,,,14.0,,6.46,2,198,81,Forward,0
251,Kevin Salvadori\salvake01,1993-94,UNC,ACC,35,28,20.9,2.9,5.2,.557,2.9,5.2,.557,0.0,0.0,,1.1,1.6,.661,,,5.9,0.5,0.5,1.7,1.0,2.1,6.9,,9.36,4,213,104,Center,0
252,Askia Jones\jonesas01,1993-94,Kansas State,Big 8,33,,31.3,6.9,16.8,.410,3.5,8.3,.427,3.3,8.5,.394,5.0,6.1,.825,,,3.8,2.0,1.4,0.2,,,22.1,,6.53,4,196,90,Guard,0
253,Elmer Bennett\benneel01,1991-92,Notre Dame,Ind,33,,36.0,5.9,13.4,.442,4.6,9.3,.490,1.3,4.0,.331,3.4,4.8,.704,,,3.6,6.2,1.8,0.1,4.5,3.0,16.5,,10.99,4,183,77,Guard,0
254,Andrae Patterson\pattean01,1997-98,Indiana,Big Ten,32,,,4.8,9.6,.495,4.4,8.5,.524,0.3,1.1,.278,2.8,3.5,.793,,,5.8,1.4,0.9,0.9,,,12.6,,10.71,4,206,107,Center,0
255,Kiwane Garris\garriki01,1996-97,Illinois,Big Ten,32,,34.0,5.3,13.4,.400,3.0,7.2,.411,2.4,6.2,.386,6.4,7.7,.833,,,3.5,5.6,1.6,0.1,2.5,2.4,19.4,,7.79,4,188,83,Guard,0
256,Jason Sasser\sasseja01,1995-96,Texas Tech,SWC,31,31,34.5,6.5,14.2,.458,5.5,11.0,.503,1.0,3.3,.307,5.5,7.5,.726,,,7.8,2.9,0.7,0.1,2.8,2.1,19.5,,2.11,4,201,102,Forward,0
257,Dan O'Sullivan\osullda01,1989-90,Fordham,MAAC,33,,32.2,4.9,10.0,.489,4.9,10.0,.491,0.0,0.0,.000,2.7,4.7,.578,,,7.5,2.0,,,,,12.5,,-2.69,4,208,113,Center,0
258,Jimmy Oliver\oliveji01,1990-91,Purdue,Big Ten,29,29,35.4,6.5,14.0,.466,3.8,7.7,.495,2.7,6.3,.429,3.4,4.0,.861,,,4.6,3.1,0.7,0.3,2.5,1.6,19.2,,8.87,3,196,92,Guard,0
259,Shawn Respert\respesh01,1994-95,Michigan State,Big Ten,28,28,33.6,8.2,17.3,.473,3.9,8.3,.472,4.3,9.0,.474,5.0,5.7,.869,,,4.0,3.0,1.4,0.0,2.9,2.6,25.6,,7.88,5,185,88,Guard,0
