playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Bol Bol,2018-19,Oregon,Pac-12,Center,9,9,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,2.1,7.4,9.6,1,0.8,2.7,2,1.7,21,,6.13,1,218,106,0
Amir Coffey,2018-19,Minnesota,Big Ten,Guard,36,36,35.2,5.5,12.6,0.436,4.4,8.9,0.492,1.1,3.8,0.304,4.5,6.1,0.74,0.7,2.9,3.6,3.2,0.9,0.2,2.3,1.5,16.6,,11.27,3,203,95,0
John Konchar,2018-19,Purdue-Fort Wayne,Summit,Guard,33,33,34.3,7,12.8,0.546,5.4,8.6,0.627,1.6,4.2,0.381,3.8,5.4,0.713,2.2,6.3,8.5,5.4,2,0.9,2.8,2.1,19.5,,-3.6,4,196,95,0
Ky Bowman,2018-19,Boston College,ACC,Guard,31,30,39.4,6.3,15.6,0.404,3.8,8.8,0.427,2.5,6.8,0.374,3.8,5,0.761,0.8,6.7,7.5,4,1.4,0.6,2.9,2.6,19,,7.76,3,185,85,0
Reggie Perry,2018-19,Mississippi State,SEC,Forward,34,18,23.9,3.5,6.9,0.502,3.1,5.8,0.546,0.3,1.1,0.282,2.4,3.4,0.716,2.6,4.6,7.2,0.6,0.6,0.7,1.5,2.9,9.7,,9.07,1,208,111,0
Kevin Porter Jr.,2018-19,USC,Pac-12,Guard,21,4,22.1,3.5,7.5,0.471,2.2,4.2,0.517,1.3,3.2,0.412,1.1,2.2,0.522,1,3,4,1.4,0.8,0.5,1.9,2.1,9.5,,4.96,1,198,98,0
Charlie Brown Jr.,2018-19,St. Joseph's,A-10,Forward,32,31,35.6,6.4,14.9,0.43,4.4,9.4,0.473,2,5.5,0.356,4.3,5,0.845,2.1,4.1,6.2,1.5,1.1,0.8,1.8,2.6,19,,1.66,2,201,89,0
Tyus Battle,2018-19,Syracuse,ACC,Guard,32,32,36.3,5.9,13.6,0.431,4.6,9.5,0.479,1.3,4.1,0.321,4.1,5.4,0.763,0.7,2.6,3.3,2.5,1.2,0.3,1.8,2.1,17.2,,10.09,3,198,92,0
Lindell Wigginton,2018-19,Iowa State,Big 12,Guard,25,2,26,3.9,9.4,0.415,2.1,4.7,0.441,1.8,4.7,0.39,3.8,5.3,0.72,0.7,3.3,4,2.1,0.8,0.4,2,2,13.5,,9.3,2,188,85,0
Obi Toppin,2018-19,Dayton,A-10,Forward,33,15,26.5,6.1,9.2,0.666,5.8,8.5,0.676,0.3,0.6,0.524,1.9,2.6,0.713,1.5,4.1,5.6,1.8,0.6,0.8,1.9,2.1,14.4,,2.91,1,206,99,0
Jontay Porter,2017-18,Missouri,SEC,Forward,33,7,24.5,3.2,7.2,0.437,1.9,3.9,0.5,1.2,3.3,0.364,2.4,3.2,0.75,1.5,5.3,6.8,2.2,0.8,1.7,1.9,2.9,9.9,,9.19,1,211,108,0
Kerwin Roach Jr.,2018-19,Texas,Big 12,Guard,31,24,29.2,5,11.5,0.439,3.3,6.5,0.502,1.7,4.9,0.355,2.8,4,0.688,0.6,3.6,4.3,3.2,1.2,0.3,2.3,2.3,14.6,,11.46,4,193,81,0
Ja Morant,2018-19,Murray State,OVC,Guard,33,33,36.6,8,16.1,0.499,6.3,11.3,0.556,1.7,4.8,0.363,6.7,8.2,0.813,1.2,4.5,5.7,10,1.8,0.8,5.2,1.5,24.5,,-3.11,2,190,79,0
Zach Norvell Jr.,2018-19,Gonzaga,WCC,Guard,37,36,30.7,4.9,11.3,0.434,2.3,4.2,0.541,2.6,7.1,0.37,2.5,2.8,0.867,0.8,3.5,4.3,3.1,1.3,0.1,1.4,1.8,14.9,,5.01,2,196,92,0
Shamorie Ponds,2018-19,St. John's (NY),Big East,Guard,33,33,35.1,6.5,14.5,0.453,4.6,8.9,0.515,2,5.6,0.353,4.6,5.5,0.836,1,3.2,4.1,5.1,2.6,0.3,2,2,19.7,,5.5,3,185,79,0
Juwan Morgan,2018-19,Indiana,Big Ten,Forward,35,35,29.9,6.1,11,0.558,5.4,8.5,0.636,0.7,2.5,0.295,2.5,3.9,0.647,2.5,5.7,8.2,1.9,1.2,1.5,1.9,2.9,15.5,,10.1,4,203,105,0
Charles Matthews,2018-19,Michigan,Big Ten,Guard,34,34,31.5,4.5,10.4,0.431,3.6,7.6,0.481,0.9,2.9,0.299,2.4,3.6,0.645,1.5,3.5,5,1.4,1.1,0.5,1.7,1.8,12.2,,10.55,3,198,92,1
Jaylen Hands,2018-19,UCLA,Pac-12,Guard,33,33,31.2,4.8,11.6,0.413,2.8,6.2,0.447,2,5.4,0.373,2.6,3.3,0.78,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,,6.78,2,190,81,0
